,term,sum_weights
2802,sec,5.627151086826437
97,2300,5.612401096064704
466,amounts,5.606424494338827
2667,representatives,5.593067866426155
3376,wrote,5.5716610309861485
32,1500,5.560770491833235
29,14000,5.550249036700535
178,460,5.510159778781133
2481,purchases,5.503442236869361
2123,nature,5.503090328267108
1950,logged,5.488267191242743
1271,employer,5.486782462649796
3234,usa,5.4862146545592125
63,1800,5.48268502503451
2649,repeatedly,5.482203010515458
13,11,5.479770684396145
79,2014,5.473107615368092
2874,similar,5.466549124646165
2339,plaintiffs,5.452270942113314
332,acceptance,5.443032252941924
87,210,5.442149659466107
746,changes,5.440942608531996
1523,future,5.435767159652328
23,130,5.4342213751849355
360,accusers,5.428561389872911
1333,exact,5.425417363797047
3079,texas,5.425310956927041
3323,ways,5.417028641266971
1134,determined,5.413266921850011
2001,manner,5.402616420672891
21,12000,5.4007393080113895
578,available,5.398063126201104
27,140,5.3950297972183545
2872,significantly,5.378219619617645
1685,illegally,5.362403413035062
91,220,5.3450884652954445
1557,gotten,5.3357086119001975
2265,pa,5.320251504630075
2912,source,5.316585234158585
3046,synchrony,5.310196214392016
1108,dep,5.308808344782309
1930,litigation,5.303720934932145
2914,speak,5.2856863808103
36,160,5.275801396564173
2182,obligation,5.268021989546123
586,away,5.265048038642574
3265,various,5.264274590693226
2507,rating,5.263678888094283
2775,salesman,5.261236297993435
330,accept,5.252735421415605
1016,damages,5.250207083357248
2628,remarks,5.243997216106111
1294,entire,5.238784748679652
1836,kept,5.233044955869302
1918,limitations,5.22684709178363
173,440,5.226842606079136
615,beginning,5.22462340239666
51,1681i,5.224392931902504
2602,reinvestigation,5.197665060831929
2089,mom,5.185727172252055
3330,weeks,5.184604057117481
729,certain,5.184543294777797
552,attempting,5.1593859756049945
1465,florida,5.147931911732417
602,banks,5.132389425151056
982,courts,5.093355008073848
3279,verifying,5.079833138014361
1405,far,5.078976962251979
3055,talking,5.077660700764867
1650,hours,5.071970183856839
2501,quote,5.071196374385094
2282,parties,5.068249657298907
2451,property,5.066364847502489
2120,national,5.057739379444673
393,adequately,5.0558213990915455
2680,requires,5.054813687151359
142,350,5.05142727187664
105,2500,5.047745021153189
1238,early,5.0426196035217465
1932,little,5.04106427064652
3047,systems,5.028703487810915
